Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),Gas:Plant [J](Monthly),Gas:Facility [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),Gas:Plant [J](RunPeriod),Gas:Facility [J](RunPeriod) 
January,13184916042.321824,10966050000.0,7369650000.0,834157289.373078,1384708752.948709,6754947617.836005,6754947617.836005 
February,11758255271.680556,9578520000.0,6442200000.0,724506248.5153277,1455229023.1651946,5583461906.078706,5583461906.078706 
March,12979301356.430563,10123110000.0,6816150000.0,758551320.7652124,2097640035.6653555,3478067718.458683,3478067718.458683 
April,14715679585.162148,10503540000.0,7060500000.0,797122686.3764302,3415016898.7857196,2460960209.6699745,2460960209.6699745 
May,16956417220.931052,10966050000.0,7369650000.0,839615395.0759007,5150751825.855151,1304482872.7911735,1304482872.7911735 
June,16424439487.344222,9660600000.0,6507000000.0,736987040.5015534,6026852446.842673,395200169.5535334,395200169.5535334 
July,20171982065.07386,10966050000.0,7369650000.0,848634059.0658193,8357298006.008009,411407570.81910088,411407570.81910088 
August,18490407211.21134,10544580000.0,7092900000.0,807907660.2383393,7137919550.973007,472361088.11348178,472361088.11348178 
September,16323642489.67854,10082070000.0,6783750000.0,770683906.6106819,5470888583.067876,688559216.6257579,688559216.6257579 
October,15532944513.003968,10966050000.0,7369650000.0,834636589.9015641,3732257923.1023805,2294432516.4452946,2294432516.4452946 
November,12917075961.39438,10082070000.0,6783750000.0,759107541.5614098,2075898419.8329406,4021568076.4708268,4021568076.4708268 
December,12712558942.012179,10544580000.0,7092900000.0,798160592.9276998,1369818349.0844563,6396279635.55769,6396279635.55769,182167620146.2454,124983270000.0,84057750000.0,9510070330.913075,47674279815.33645,34261728598.420175,34261728598.420175 
